player_a,player_b,condition,round_type,prediction,actual_winner,gap,score_a,score_b,result,correct
Andrew Novak,Rico Hoey,Tough,Closing,Rico Hoey,Andrew Novak,-16.9,-16.9,0.0,LOSS,False
J.T. Poston,Jacob Bridgeman,Tough,Closing,SKIP,Jacob Bridgeman,2.299999999999999,-9.9,-12.2,SKIP,
Ben Griffin,Jake Knapp,Tough,Closing,Jake Knapp,Push,-10.4,-12.0,-1.6,PUSH,
Kurt Kitayama,Sahith Theegala,Tough,Closing,Kurt Kitayama,Push,10.4,-1.7,-12.1,PUSH,
Jordan Spieth,Matt McCarty,Tough,Closing,Matt McCarty,Push,-6.200000000000001,-14.3,-8.1,PUSH,
Keegan Bradley,Pierceson Coody,Tough,Closing,Pierceson Coody,Pierceson Coody,-12.1,-12.1,0.0,WIN,True
Michael Kim,Patrick Rodgers,Tough,Closing,SKIP,Patrick Rodgers,3.5,-10.8,-14.3,SKIP,
Ludvig Aberg,Sam Burns,Tough,Closing,Ludvig Aberg,Sam Burns,11.2,3.1,-8.1,LOSS,False
Akshay Bhatia,Shane Lowry,Tough,Closing,SKIP,Akshay Bhatia,1.6999999999999993,-10.4,-12.1,SKIP,
Maverick McNealy,Adam Scott,Tough,Closing,SKIP,Maverick McNealy,3.0,0.0,-3.0,SKIP,
Tommy Fleetwood,Cameron Young,Tough,Closing,SKIP,Tommy Fleetwood,1.6999999999999993,-10.4,-12.1,SKIP,
Collin Morikawa,Viktor Hovland,Tough,Closing,SKIP,Collin Morikawa,0.0,-8.3,-8.3,SKIP,
Rory McIlroy,Hideki Matsuyama,Tough,Closing,Rory McIlroy,Rory McIlroy,10.8,0.0,-10.8,WIN,True
J.J. Spaun,Ryan Gerard,Tough,Closing,Ryan Gerard,Ryan Gerard,-6.1,-3.0,3.1,WIN,True
Sam Stevens,Corey Conners,Tough,Closing,SKIP,Corey Conners,2.799999999999999,-8.3,-11.1,SKIP,
