condition,round_type,exec_bucket,upside_bucket,moon,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,0,0,Krishna Bhadra,47,19.1,29.8,23.1,23.8,-3.9,6.0,0.66,0.71
Calm,Closing,0,0,Krishna Jaya,34,14.7,41.2,23.1,23.8,-8.4,17.4,0.37,1.32
Calm,Closing,0,0,Krishna Nanda,52,13.5,34.6,23.1,23.8,-9.6,10.8,0.4,0.83
Calm,Closing,0,0,Shukla Bhadra,42,16.7,31.0,23.1,23.8,-6.4,7.2,0.55,0.4
Calm,Closing,0,0,Shukla Jaya,71,19.7,28.2,23.1,23.8,-3.4,4.4,0.72,0.43
Calm,Closing,0,0,Shukla Nanda,50,18.0,44.0,23.1,23.8,-5.1,20.2,0.42,1.4
Calm,Closing,0,0,Shukla Purna,55,20.0,38.2,23.1,23.8,-3.1,14.4,0.54,0.9
Calm,Closing,0,0,Shukla Rikta,95,20.0,28.4,23.1,23.8,-3.1,4.6,0.72,0.52
Calm,Closing,25,25,Shukla Jaya,70,34.3,14.3,23.1,23.8,11.2,-9.5,2.47,-0.59
Calm,Closing,25,50,Krishna Bhadra,114,19.3,25.4,23.1,23.8,-3.8,1.7,0.78,0.35
Calm,Closing,25,50,Krishna Jaya,75,29.3,18.7,23.1,23.8,6.2,-5.1,1.62,-0.42
Calm,Closing,25,50,Krishna Purna,59,16.9,37.3,23.1,23.8,-6.1,13.5,0.47,0.95
Calm,Closing,25,50,Shukla Bhadra,125,28.0,19.2,23.1,23.8,4.9,-4.6,1.5,-0.46
Calm,Closing,25,50,Shukla Jaya,134,23.9,22.4,23.1,23.8,0.8,-1.4,1.1,-0.14
Calm,Closing,25,50,Shukla Nanda,103,26.2,22.3,23.1,23.8,3.1,-1.5,1.21,-0.38
Calm,Closing,25,50,Shukla Purna,89,29.2,15.7,23.1,23.8,6.1,-8.1,1.91,-0.56
Calm,Closing,25,50,Shukla Rikta,192,20.8,21.4,23.1,23.8,-2.3,-2.4,1.0,-0.01
Calm,Closing,25,75,Krishna Bhadra,83,24.1,19.3,23.1,23.8,1.0,-4.5,1.29,-0.36
Calm,Closing,25,75,Krishna Jaya,30,16.7,33.3,23.1,23.8,-6.4,9.5,0.51,0.91
Calm,Closing,25,75,Shukla Bhadra,73,26.0,32.9,23.1,23.8,2.9,9.1,0.82,0.15
Calm,Closing,25,75,Shukla Jaya,59,16.9,27.1,23.1,23.8,-6.1,3.3,0.64,0.18
Calm,Closing,25,75,Shukla Nanda,39,25.6,20.5,23.1,23.8,2.5,-3.3,1.29,-0.14
Calm,Closing,25,75,Shukla Purna,37,18.9,27.0,23.1,23.8,-4.2,3.2,0.72,1.03
Calm,Closing,25,75,Shukla Rikta,70,32.9,14.3,23.1,23.8,9.8,-9.5,2.37,-0.7
Calm,Closing,50,25,Shukla Rikta,34,35.3,14.7,23.1,23.8,12.2,-9.1,2.47,-1.0
Calm,Closing,50,50,Krishna Bhadra,90,13.3,23.3,23.1,23.8,-9.8,-0.5,0.59,0.42
Calm,Closing,50,50,Krishna Jaya,119,18.5,22.7,23.1,23.8,-4.6,-1.1,0.84,0.15
Calm,Closing,50,50,Krishna Nanda,138,22.5,24.6,23.1,23.8,-0.6,0.9,0.94,0.29
Calm,Closing,50,50,Krishna Purna,201,26.9,20.4,23.1,23.8,3.8,-3.4,1.36,-0.04
Calm,Closing,50,50,Krishna Rikta,66,25.8,19.7,23.1,23.8,2.7,-4.1,1.35,-0.28
Calm,Closing,50,50,Shukla Bhadra,174,20.1,24.7,23.1,23.8,-3.0,0.9,0.84,0.09
Calm,Closing,50,50,Shukla Jaya,319,23.5,27.6,23.1,23.8,0.4,3.8,0.88,0.25
Calm,Closing,50,50,Shukla Nanda,139,24.5,18.7,23.1,23.8,1.4,-5.1,1.35,-0.03
Calm,Closing,50,50,Shukla Purna,133,27.1,15.8,23.1,23.8,4.0,-8.0,1.77,-0.55
Calm,Closing,50,50,Shukla Rikta,182,33.5,22.5,23.1,23.8,10.4,-1.3,1.53,-0.41
Calm,Closing,50,75,Krishna Bhadra,52,17.3,28.8,23.1,23.8,-5.8,5.1,0.62,0.5
Calm,Closing,50,75,Krishna Jaya,75,20.0,24.0,23.1,23.8,-3.1,0.2,0.86,0.28
Calm,Closing,50,75,Krishna Nanda,60,23.3,21.7,23.1,23.8,0.2,-2.1,1.11,0.33
Calm,Closing,50,75,Krishna Purna,62,16.1,19.4,23.1,23.8,-7.0,-4.4,0.86,-0.06
Calm,Closing,50,75,Krishna Rikta,32,15.6,25.0,23.1,23.8,-7.5,1.2,0.64,0.28
Calm,Closing,50,75,Shukla Bhadra,85,16.5,20.0,23.1,23.8,-6.6,-3.8,0.85,-0.31
Calm,Closing,50,75,Shukla Jaya,182,18.1,24.2,23.1,23.8,-5.0,0.4,0.77,0.15
Calm,Closing,50,75,Shukla Nanda,101,27.7,19.8,23.1,23.8,4.6,-4.0,1.44,-0.48
Calm,Closing,50,75,Shukla Purna,130,28.5,21.5,23.1,23.8,5.4,-2.2,1.36,-0.17
Calm,Closing,50,75,Shukla Rikta,209,25.4,24.4,23.1,23.8,2.3,0.6,1.07,-0.08
Calm,Closing,75,50,Krishna Bhadra,33,6.1,21.2,23.1,23.8,-17.0,-2.6,0.29,-0.01
Calm,Closing,75,50,Krishna Jaya,31,22.6,45.2,23.1,23.8,-0.5,21.4,0.51,1.02
Calm,Closing,75,50,Krishna Nanda,40,22.5,17.5,23.1,23.8,-0.6,-6.3,1.32,0.35
Calm,Closing,75,50,Krishna Purna,62,24.2,25.8,23.1,23.8,1.1,2.0,0.97,0.21
Calm,Closing,75,50,Shukla Bhadra,37,32.4,10.8,23.1,23.8,9.3,-13.0,3.09,-0.58
Calm,Closing,75,50,Shukla Jaya,52,17.3,32.7,23.1,23.8,-5.8,8.9,0.55,0.8
Calm,Closing,75,50,Shukla Nanda,38,23.7,18.4,23.1,23.8,0.6,-5.4,1.32,-0.35
Calm,Closing,75,50,Shukla Purna,80,36.3,20.0,23.1,23.8,13.2,-3.8,1.87,-0.53
Calm,Closing,75,50,Shukla Rikta,59,27.1,23.7,23.1,23.8,4.0,-0.1,1.18,-0.44
Calm,Elimination,25,50,Krishna Jaya,35,28.6,11.4,27.3,18.0,1.2,-6.5,1.64,-0.29
Calm,Elimination,50,50,Krishna Jaya,49,24.5,24.5,27.3,18.0,-2.9,6.5,0.66,0.31
Calm,Elimination,50,75,Shukla Bhadra,32,31.3,9.4,27.3,18.0,3.9,-8.6,2.19,-0.17
Calm,Mixed,0,0,Krishna Bhadra,42,28.6,26.2,31.8,23.8,-3.3,2.4,0.81,0.77
Calm,Mixed,0,0,Krishna Purna,34,32.4,29.4,31.8,23.8,0.5,5.7,0.82,-0.1
Calm,Mixed,0,0,Shukla Bhadra,39,20.5,25.6,31.8,23.8,-11.3,1.9,0.6,0.74
Calm,Mixed,25,25,Shukla Nanda,31,38.7,6.5,31.8,23.8,6.9,-17.3,4.48,-0.83
Calm,Mixed,25,50,Krishna Purna,50,52.0,20.0,31.8,23.8,20.2,-3.8,1.94,-1.57
Calm,Mixed,25,50,Shukla Bhadra,34,23.5,23.5,31.8,23.8,-8.3,-0.2,0.75,0.21
Calm,Mixed,25,75,Krishna Bhadra,32,28.1,21.9,31.8,23.8,-3.7,-1.9,0.96,0.22
Calm,Mixed,50,50,Krishna Bhadra,79,16.5,29.1,31.8,23.8,-15.4,5.4,0.42,0.84
Calm,Mixed,50,50,Krishna Purna,88,53.4,9.1,31.8,23.8,21.6,-14.7,4.39,-1.97
Calm,Mixed,50,50,Shukla Bhadra,60,28.3,25.0,31.8,23.8,-3.5,1.2,0.85,0.35
Calm,Mixed,50,50,Shukla Nanda,56,39.3,21.4,31.8,23.8,7.5,-2.3,1.37,-0.15
Calm,Mixed,50,50,Shukla Rikta,47,6.4,55.3,31.8,23.8,-25.5,31.6,0.09,2.84
Calm,Mixed,50,75,Krishna Bhadra,79,20.3,19.0,31.8,23.8,-11.6,-4.8,0.8,0.59
Calm,Mixed,50,75,Krishna Purna,52,46.2,19.2,31.8,23.8,14.3,-4.5,1.79,-1.27
Calm,Mixed,50,75,Shukla Nanda,58,50.0,6.9,31.8,23.8,18.2,-16.9,5.41,-1.54
Calm,Mixed,50,75,Shukla Rikta,33,18.2,48.5,31.8,23.8,-13.7,24.7,0.28,2.21
Calm,Mixed,75,50,Krishna Purna,35,54.3,11.4,31.8,23.8,22.5,-12.3,3.55,-1.65
Calm,Mixed,75,75,Krishna Purna,30,53.3,6.7,31.8,23.8,21.5,-17.1,5.97,-2.08
Calm,Open,0,0,Krishna Bhadra,101,14.9,48.5,26.4,23.1,-11.6,25.4,0.27,2.04
Calm,Open,0,0,Krishna Jaya,175,21.7,33.1,26.4,23.1,-4.7,10.0,0.57,0.88
Calm,Open,0,0,Krishna Nanda,192,9.4,39.1,26.4,23.1,-17.0,16.0,0.21,1.59
Calm,Open,0,0,Krishna Purna,162,11.1,43.8,26.4,23.1,-15.3,20.7,0.22,2.02
Calm,Open,0,0,Krishna Rikta,67,10.4,26.9,26.4,23.1,-16.0,3.8,0.34,1.21
Calm,Open,0,0,Shukla Bhadra,78,2.6,47.4,26.4,23.1,-23.9,24.3,0.05,2.7
Calm,Open,0,0,Shukla Jaya,163,20.9,24.5,26.4,23.1,-5.6,1.4,0.74,0.82
Calm,Open,0,0,Shukla Nanda,86,22.1,17.4,26.4,23.1,-4.3,-5.7,1.11,-0.1
Calm,Open,0,0,Shukla Purna,226,11.1,40.7,26.4,23.1,-15.4,17.6,0.24,1.64
Calm,Open,0,0,Shukla Rikta,125,16.8,36.8,26.4,23.1,-9.6,13.7,0.4,1.43
Calm,Open,25,25,Shukla Nanda,59,39.0,13.6,26.4,23.1,12.6,-9.6,2.52,-0.85
Calm,Open,25,25,Shukla Purna,89,32.6,15.7,26.4,23.1,6.2,-7.4,1.81,-0.64
Calm,Open,25,50,Krishna Bhadra,143,28.0,15.4,26.4,23.1,1.6,-7.7,1.59,-0.33
Calm,Open,25,50,Krishna Jaya,214,34.6,17.3,26.4,23.1,8.2,-5.8,1.75,-0.69
Calm,Open,25,50,Krishna Nanda,250,25.6,18.4,26.4,23.1,-0.8,-4.7,1.22,-0.25
Calm,Open,25,50,Krishna Purna,149,25.5,23.5,26.4,23.1,-0.9,0.4,0.95,-0.17
Calm,Open,25,50,Krishna Rikta,80,26.3,27.5,26.4,23.1,-0.2,4.4,0.84,0.43
Calm,Open,25,50,Shukla Bhadra,129,30.2,21.7,26.4,23.1,3.8,-1.4,1.22,-0.07
Calm,Open,25,50,Shukla Jaya,130,32.3,18.5,26.4,23.1,5.9,-4.7,1.53,-0.33
Calm,Open,25,50,Shukla Nanda,88,39.8,10.2,26.4,23.1,13.4,-12.9,3.4,-1.33
Calm,Open,25,50,Shukla Purna,246,24.0,20.7,26.4,23.1,-2.4,-2.4,1.01,0.11
Calm,Open,25,50,Shukla Rikta,183,27.9,20.2,26.4,23.1,1.5,-2.9,1.21,-0.21
Calm,Open,25,75,Krishna Jaya,216,35.2,20.4,26.4,23.1,8.8,-2.7,1.51,-0.47
Calm,Open,25,75,Krishna Nanda,182,26.4,23.6,26.4,23.1,-0.0,0.5,0.98,-0.19
Calm,Open,25,75,Krishna Purna,100,24.0,18.0,26.4,23.1,-2.4,-5.1,1.17,-0.07
Calm,Open,25,75,Krishna Rikta,46,30.4,17.4,26.4,23.1,4.0,-5.7,1.53,-0.2
Calm,Open,25,75,Shukla Jaya,89,34.8,14.6,26.4,23.1,8.4,-8.5,2.09,-0.47
Calm,Open,25,75,Shukla Nanda,115,25.2,27.0,26.4,23.1,-1.2,3.8,0.82,-0.16
Calm,Open,25,75,Shukla Purna,202,22.3,28.7,26.4,23.1,-4.1,5.6,0.68,0.61
Calm,Open,25,75,Shukla Rikta,46,28.3,19.6,26.4,23.1,1.8,-3.5,1.26,-0.41
Calm,Open,50,25,Krishna Purna,47,31.9,17.0,26.4,23.1,5.5,-6.1,1.64,-0.25
Calm,Open,50,50,Krishna Bhadra,101,29.7,23.8,26.4,23.1,3.3,0.7,1.09,-0.06
Calm,Open,50,50,Krishna Jaya,310,31.9,18.1,26.4,23.1,5.5,-5.0,1.55,-0.36
Calm,Open,50,50,Krishna Nanda,427,23.7,21.1,26.4,23.1,-2.8,-2.0,0.98,0.01
Calm,Open,50,50,Krishna Purna,338,29.0,21.3,26.4,23.1,2.6,-1.8,1.19,-0.37
Calm,Open,50,50,Krishna Rikta,195,31.8,13.3,26.4,23.1,5.4,-9.8,2.09,-0.55
Calm,Open,50,50,Shukla Bhadra,269,27.1,23.4,26.4,23.1,0.7,0.3,1.01,-0.17
Calm,Open,50,50,Shukla Jaya,292,27.7,28.1,26.4,23.1,1.3,5.0,0.86,0.09
Calm,Open,50,50,Shukla Nanda,342,31.9,22.5,26.4,23.1,5.5,-0.6,1.24,-0.38
Calm,Open,50,50,Shukla Purna,514,31.3,18.3,26.4,23.1,4.9,-4.8,1.5,-0.41
Calm,Open,50,50,Shukla Rikta,84,26.2,17.9,26.4,23.1,-0.2,-5.3,1.28,-0.37
Calm,Open,50,75,Krishna Bhadra,189,18.5,23.3,26.4,23.1,-7.9,0.2,0.7,0.34
Calm,Open,50,75,Krishna Jaya,116,28.4,19.8,26.4,23.1,2.0,-3.3,1.26,-0.2
