condition,round_type,color,element,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,Blue,Earth,95,22.1,30.5,25.2,22.8,-3.1,7.7,0.65,0.13
Calm,Closing,Blue,Fire,102,33.3,26.5,25.2,22.8,8.1,3.7,1.14,-0.09
Calm,Closing,Blue,Metal,96,19.8,30.2,25.2,22.8,-5.4,7.4,0.59,0.36
Calm,Closing,Blue,Water,86,25.6,20.9,25.2,22.8,0.4,-1.9,1.1,-0.07
Calm,Closing,Blue,Wood,57,14.0,24.6,25.2,22.8,-11.2,1.8,0.52,0.49
Calm,Closing,Green,Earth,61,31.1,11.5,25.2,22.8,5.9,-11.3,2.45,-0.62
Calm,Closing,Green,Fire,54,24.1,18.5,25.2,22.8,-1.2,-4.3,1.17,-0.27
Calm,Closing,Green,Metal,43,20.9,30.2,25.2,22.8,-4.3,7.4,0.63,0.0
Calm,Closing,Green,Water,51,21.6,23.5,25.2,22.8,-3.7,0.7,0.83,-0.06
Calm,Closing,Green,Wood,42,14.3,23.8,25.2,22.8,-10.9,1.0,0.54,0.45
Calm,Closing,Orange,Earth,55,30.9,21.8,25.2,22.8,5.7,-1.0,1.28,-0.55
Calm,Closing,Orange,Fire,69,20.3,27.5,25.2,22.8,-4.9,4.7,0.67,0.22
Calm,Closing,Orange,Metal,56,26.8,25.0,25.2,22.8,1.6,2.2,0.97,-0.01
Calm,Closing,Orange,Water,55,14.5,25.5,25.2,22.8,-10.7,2.7,0.52,0.28
Calm,Closing,Orange,Wood,47,29.8,21.3,25.2,22.8,4.6,-1.5,1.27,-0.32
Calm,Closing,Purple,Earth,64,21.9,21.9,25.2,22.8,-3.4,-0.9,0.9,-0.11
Calm,Closing,Purple,Fire,57,29.8,14.0,25.2,22.8,4.6,-8.8,1.92,-0.5
Calm,Closing,Purple,Metal,52,26.9,15.4,25.2,22.8,1.7,-7.4,1.58,-0.42
Calm,Closing,Purple,Water,77,28.6,22.1,25.2,22.8,3.3,-0.7,1.17,-0.34
Calm,Closing,Purple,Wood,46,26.1,19.6,25.2,22.8,0.9,-3.2,1.21,-0.54
Calm,Closing,Yellow,Earth,194,22.7,20.6,25.2,22.8,-2.5,-2.2,0.99,0.09
Calm,Closing,Yellow,Fire,204,24.5,24.0,25.2,22.8,-0.7,1.2,0.92,-0.18
Calm,Closing,Yellow,Metal,139,31.7,22.3,25.2,22.8,6.4,-0.5,1.28,-0.28
Calm,Closing,Yellow,Water,174,27.0,18.4,25.2,22.8,1.8,-4.4,1.33,-0.31
Calm,Closing,Yellow,Wood,154,26.6,27.3,25.2,22.8,1.4,4.5,0.88,0.15
Calm,Mixed,Yellow,Earth,44,45.5,15.9,30.0,29.5,15.5,-13.6,2.81,-1.01
Calm,Mixed,Yellow,Fire,51,23.5,39.2,30.0,29.5,-6.5,9.7,0.59,1.17
Calm,Mixed,Yellow,Metal,33,36.4,24.2,30.0,29.5,6.4,-5.2,1.47,-0.29
Calm,Mixed,Yellow,Water,36,22.2,33.3,30.0,29.5,-7.8,3.9,0.66,1.11
Calm,Mixed,Yellow,Wood,34,23.5,29.4,30.0,29.5,-6.5,-0.1,0.79,0.73
Calm,Open,Blue,Earth,170,24.7,24.1,28.8,22.5,-4.1,1.6,0.8,-0.08
Calm,Open,Blue,Fire,194,27.3,21.6,28.8,22.5,-1.5,-0.8,0.98,-0.12
Calm,Open,Blue,Metal,149,31.5,22.8,28.8,22.5,2.7,0.4,1.08,-0.39
Calm,Open,Blue,Water,165,29.7,18.8,28.8,22.5,0.9,-3.7,1.23,-0.33
Calm,Open,Blue,Wood,112,35.7,17.9,28.8,22.5,6.9,-4.6,1.56,-0.56
Calm,Open,Green,Earth,114,33.3,22.8,28.8,22.5,4.5,0.3,1.14,-0.49
Calm,Open,Green,Fire,132,32.6,21.2,28.8,22.5,3.8,-1.3,1.2,-0.37
Calm,Open,Green,Metal,114,23.7,30.7,28.8,22.5,-5.1,8.2,0.6,0.52
Calm,Open,Green,Water,102,33.3,19.6,28.8,22.5,4.5,-2.9,1.33,-0.5
Calm,Open,Green,Wood,112,26.8,20.5,28.8,22.5,-2.0,-1.9,1.02,-0.28
Calm,Open,Orange,Earth,76,30.3,17.1,28.8,22.5,1.5,-5.4,1.38,-0.58
Calm,Open,Orange,Fire,82,34.1,17.1,28.8,22.5,5.3,-5.4,1.56,-0.68
Calm,Open,Orange,Metal,75,25.3,21.3,28.8,22.5,-3.5,-1.1,0.93,-0.09
Calm,Open,Orange,Water,80,27.5,22.5,28.8,22.5,-1.3,0.0,0.95,0.1
